subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
2yn9f7b8c7,39197.29999999702,911467,6838de9a3bacba2ac57f0290,0,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,50%,10%,50%,80%,job,1,1,0,1,,,stim,d6
2yn9f7b8c7,49033.699999999255,994486,6838de9a3bacba2ac57f0290,,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d6
2yn9f7b8c7,29509.89999999851,1076127,6838de9a3bacba2ac57f0290,0,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,10%,50%,80%,50%,job,0,0,0,1,,,stim,d1
2yn9f7b8c7,231996,1320163,6838de9a3bacba2ac57f0290,,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d1
2yn9f7b8c7,70575.89999999851,1423166,6838de9a3bacba2ac57f0290,1,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,80%,50%,10%,70%,cook,1,1,0,0,,,stim,c4
2yn9f7b8c7,91174.80000000075,1542326,6838de9a3bacba2ac57f0290,,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,,,,,,,,,,The person did not want to eat the main dish,,ans,c4
2yn9f7b8c7,17290.10000000149,1603230,6838de9a3bacba2ac57f0290,0,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,10%,50%,80%,50%,cook,1,0,0,0,,,stim,c3
2yn9f7b8c7,39196.699999999255,1650667,6838de9a3bacba2ac57f0290,,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,,,,,,,,,,The person wanted to eat the dessert,,ans,c3
2yn9f7b8c7,22161.599999997765,1704485,6838de9a3bacba2ac57f0290,0,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,10%,70%,80%,50%,job,0,1,0,0,,,stim,c2
2yn9f7b8c7,52502.89999999851,1765293,6838de9a3bacba2ac57f0290,,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,,,,,,,,,,The presenter did not present Feature A,,ans,c2
2yn9f7b8c7,21097.70000000298,1810845,6838de9a3bacba2ac57f0290,0,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,10%,70%,80%,50%,cook,1,1,1,0,,,stim,c5
2yn9f7b8c7,70340.5,1885911,6838de9a3bacba2ac57f0290,,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,,,,,,,,,,The person wanted to eat the dessert,,ans,c5
2yn9f7b8c7,45884.5,1965531,6838de9a3bacba2ac57f0290,1,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,50%,80%,50%,10%,group,1,0,0,1,,,stim,d4
2yn9f7b8c7,55587.70000000298,2034146,6838de9a3bacba2ac57f0290,,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,,,,,,,,,,The first student had not had a good morning,,ans,d4
2yn9f7b8c7,18992.69999999553,2081376,6838de9a3bacba2ac57f0290,1,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,50%,80%,50%,10%,group,1,1,1,1,,,stim,d7
2yn9f7b8c7,63519.5,2148957,6838de9a3bacba2ac57f0290,,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,,,,,,,,,,The first student had had a good morning,,ans,d7
2yn9f7b8c7,36585,2210356,6838de9a3bacba2ac57f0290,1,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,50%,80%,50%,10%,group,0,1,0,1,,,stim,d2
2yn9f7b8c7,74356.5,2289991,6838de9a3bacba2ac57f0290,,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,,,,,,,,,,The second student had not had a good morning,,ans,d2
2yn9f7b8c7,55336.79999999702,2376874,6838de9a3bacba2ac57f0290,0,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,10%,50%,80%,50%,cook,0,0,0,0,,,stim,c1
2yn9f7b8c7,80377.69999999553,2461929,6838de9a3bacba2ac57f0290,,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,,,,,,,,,,The main dish was not on the menu,,ans,c1
2yn9f7b8c7,22791.89999999851,2506684,6838de9a3bacba2ac57f0290,1,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,80%,50%,10%,70%,job,0,1,1,1,,,stim,d3
2yn9f7b8c7,64568.5,2575828,6838de9a3bacba2ac57f0290,,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,,,,,,,,,,The presented presented Feature B,,ans,d3
2yn9f7b8c7,21695.20000000298,2608142,6838de9a3bacba2ac57f0290,1,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,50%,80%,50%,10%,cook,1,0,1,1,,,stim,d5
2yn9f7b8c7,43863.79999999702,2657255,6838de9a3bacba2ac57f0290,,6851b6145b9a58eb29d70934,6851be02df3b47e25b640a5d,,,,,,,,,,The person wanted to eat the main dish,,ans,d5
